judgment,output.Answer,output.Answer.count,output.Answer.unique,unit,worker,started,submitted,duration,job
233,"OrderedCounter({'gelijkheid': 1, 'protest': 1, 'rechtvaardigheid': 1, 'verzet': 1, 'staking': 1})",5,5,101,33,2023-06-28 19:24:07,2023-06-28 19:24:07,0,data/CrowdTruth_Results
234,"OrderedCounter({'revolutie': 1, 'verzet': 1, 'oproer': 1, 'staking': 1})",4,4,101,34,2023-06-29 12:13:42,2023-06-29 12:13:42,0,data/CrowdTruth_Results
235,"OrderedCounter({'revolutie': 1, 'vrijheidsstrijd': 1, 'onrust': 1, 'verwoesting': 1, 'onafhankelijkheid': 1})",5,5,101,35,2023-06-30 03:19:07,2023-06-30 03:19:07,0,data/CrowdTruth_Results
236,"OrderedCounter({'onrust': 1, 'anarchie': 1})",2,2,102,1,2023-09-06 16:02:20,2023-09-06 16:02:20,0,data/CrowdTruth_Results
237,"OrderedCounter({'onrust': 1, 'omverwerping': 1, 'uitbraak': 1, 'verzet': 1})",4,4,102,2,2023-10-06 13:04:16,2023-10-06 13:04:16,0,data/CrowdTruth_Results
238,"OrderedCounter({'opstandigheid': 1, 'anarchie': 1, 'muiterij': 1})",3,3,102,3,2023-06-13 10:05:12,2023-06-13 10:05:12,0,data/CrowdTruth_Results
239,"OrderedCounter({'vrijheidsstrijd': 1, 'gelijkheid': 1, 'dissidentie': 1, 'opkomen': 1, 'onafhankelijkheid': 1})",5,5,102,4,2023-06-13 17:04:51,2023-06-13 17:04:51,0,data/CrowdTruth_Results
240,"OrderedCounter({'protest': 1, 'opstand': 1, 'dissidentie': 1, 'verzet': 1, 'staking': 1})",5,5,102,5,2023-06-20 13:11:22,2023-06-20 13:11:22,0,data/CrowdTruth_Results
241,"OrderedCounter({'opstandigheid': 1, 'opstand': 1, 'anarchie': 1})",3,3,102,6,2023-06-20 13:50:30,2023-06-20 13:50:30,0,data/CrowdTruth_Results
242,"OrderedCounter({'vrijheidsstrijd': 1, 'protest': 1, 'anarchie': 1, 'uitbraak': 1})",4,4,102,7,2023-06-20 17:59:46,2023-06-20 17:59:46,0,data/CrowdTruth_Results
243,OrderedCounter({'protest': 1}),1,1,102,8,2023-06-20 18:38:16,2023-06-20 18:38:16,0,data/CrowdTruth_Results
244,"OrderedCounter({'emancipatie': 1, 'opstand': 1, 'gelijkheid': 1, 'omverwerping': 1, 'verwoesting': 1})",5,5,102,9,2023-06-21 09:14:03,2023-06-21 09:14:03,0,data/CrowdTruth_Results
245,"OrderedCounter({'onrust': 1, 'ongehoorzaamheid': 1, 'verzet': 1})",3,3,102,10,2023-06-21 12:14:43,2023-06-21 12:14:43,0,data/CrowdTruth_Results
246,"OrderedCounter({'opstandigheid': 1, 'opstand': 1, 'protest': 1, 'ongehoorzaamheid': 1, 'verzet': 1})",5,5,102,11,2023-06-22 13:23:42,2023-06-22 13:23:42,0,data/CrowdTruth_Results
247,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'verzet': 1})",5,5,102,12,2023-06-22 16:54:17,2023-06-22 16:54:17,0,data/CrowdTruth_Results
248,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",4,4,102,13,2023-06-23 10:43:50,2023-06-23 10:43:50,0,data/CrowdTruth_Results
249,"OrderedCounter({'onrust': 1, 'protest': 1, 'vandalisme': 1, 'oproer': 1})",4,4,102,14,2023-06-23 10:50:44,2023-06-23 10:50:44,0,data/CrowdTruth_Results
250,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",4,4,102,15,2023-06-23 21:48:40,2023-06-23 21:48:40,0,data/CrowdTruth_Results
251,"OrderedCounter({'revolutie': 1, 'opstand': 1, 'verwoesting': 1, 'oproer': 1})",4,4,102,16,2023-06-25 19:43:49,2023-06-25 19:43:49,0,data/CrowdTruth_Results
252,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",4,4,102,17,2023-06-26 16:24:30,2023-06-26 16:24:30,0,data/CrowdTruth_Results
253,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'oproer': 1})",3,3,102,18,2023-06-26 16:28:53,2023-06-26 16:28:53,0,data/CrowdTruth_Results
254,OrderedCounter({'verwoesting': 1}),1,1,102,19,2023-06-26 16:28:54,2023-06-26 16:28:54,0,data/CrowdTruth_Results
255,"OrderedCounter({'opstand': 1, 'gelijkheid': 1, 'vandalisme': 1, 'rechtvaardigheid': 1, 'verwoesting': 1})",5,5,102,20,2023-06-26 16:29:13,2023-06-26 16:29:13,0,data/CrowdTruth_Results
256,OrderedCounter({'vandalisme': 1}),1,1,102,21,2023-06-26 16:43:31,2023-06-26 16:43:31,0,data/CrowdTruth_Results
257,"OrderedCounter({'revolutie': 1, 'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'oproer': 1})",5,5,102,22,2023-06-26 17:54:48,2023-06-26 17:54:48,0,data/CrowdTruth_Results
258,OrderedCounter({'opstand': 1}),1,1,102,23,2023-06-27 15:38:55,2023-06-27 15:38:55,0,data/CrowdTruth_Results
259,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'verzet': 1})",5,5,102,24,2023-06-27 15:57:41,2023-06-27 15:57:41,0,data/CrowdTruth_Results
260,OrderedCounter({'onrust': 1}),1,1,102,25,2023-06-27 16:32:11,2023-06-27 16:32:11,0,data/CrowdTruth_Results
261,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",5,5,102,26,2023-06-27 19:33:55,2023-06-27 19:33:55,0,data/CrowdTruth_Results
262,OrderedCounter({'verwoesting': 1}),1,1,102,27,2023-06-27 19:36:23,2023-06-27 19:36:23,0,data/CrowdTruth_Results
263,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'rechtvaardigheid': 1, 'verwoesting': 1})",5,5,102,28,2023-06-27 21:28:55,2023-06-27 21:28:55,0,data/CrowdTruth_Results
264,"OrderedCounter({'opstand': 1, 'protest': 1})",2,2,102,29,2023-06-27 22:37:23,2023-06-27 22:37:23,0,data/CrowdTruth_Results
265,OrderedCounter({'opstand': 1}),1,1,102,30,2023-06-27 23:47:39,2023-06-27 23:47:39,0,data/CrowdTruth_Results
266,"OrderedCounter({'opstand': 1, 'onrust': 1, 'verwoesting': 1, 'oproer': 1, 'ongeluk/niet met opzet': 1})",5,5,102,31,2023-06-28 03:20:30,2023-06-28 03:20:30,0,data/CrowdTruth_Results
267,"OrderedCounter({'gelijkheid': 1, 'rechtvaardigheid': 1, 'verwoesting': 1})",3,3,102,32,2023-06-28 04:39:00,2023-06-28 04:39:00,0,data/CrowdTruth_Results
268,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",5,5,102,33,2023-06-28 19:24:07,2023-06-28 19:24:07,0,data/CrowdTruth_Results
269,"OrderedCounter({'onrust': 1, 'verwoesting': 1, 'oproer': 1})",3,3,102,34,2023-06-29 12:13:42,2023-06-29 12:13:42,0,data/CrowdTruth_Results
270,"OrderedCounter({'emancipatie': 1, 'revolutie': 1, 'vrijheidsstrijd': 1, 'verwoesting': 1, 'onafhankelijkheid': 1})",5,5,102,35,2023-06-30 03:19:07,2023-06-30 03:19:07,0,data/CrowdTruth_Results
271,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1})",3,3,103,1,2023-09-06 16:02:20,2023-09-06 16:02:20,0,data/CrowdTruth_Results
272,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'verzet': 1, 'oproer': 1})",5,5,103,2,2023-10-06 13:04:16,2023-10-06 13:04:16,0,data/CrowdTruth_Results
273,"OrderedCounter({'protest': 1, 'bevrijding': 1, 'vandalisme': 1})",3,3,103,3,2023-06-13 10:05:12,2023-06-13 10:05:12,0,data/CrowdTruth_Results
274,"OrderedCounter({'vrijheidsstrijd': 1, 'opstand': 1, 'onrust': 1, 'protest': 1, 'oproer': 1})",5,5,103,4,2023-06-13 17:04:51,2023-06-13 17:04:51,0,data/CrowdTruth_Results
275,"OrderedCounter({'opstand': 2, 'revolutie': 1, 'protest': 1, 'oproer': 1})",5,4,103,5,2023-06-20 13:11:22,2023-06-20 13:11:22,0,data/CrowdTruth_Results
276,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",4,4,103,6,2023-06-20 13:50:30,2023-06-20 13:50:30,0,data/CrowdTruth_Results
277,"OrderedCounter({'revolutie': 1, 'bevrijding': 1, 'verwoesting': 1, 'oproer': 1})",4,4,103,7,2023-06-20 17:59:46,2023-06-20 17:59:46,0,data/CrowdTruth_Results
278,"OrderedCounter({'protest': 1, 'opstand': 1, 'verwoesting': 1, 'verzet': 1, 'staking': 1})",5,5,103,8,2023-06-20 18:38:16,2023-06-20 18:38:16,0,data/CrowdTruth_Results
279,"OrderedCounter({'emancipatie': 1, 'opstand': 1, 'gelijkheid': 1, 'vandalisme': 1, 'verwoesting': 1})",5,5,103,9,2023-06-21 09:14:03,2023-06-21 09:14:03,0,data/CrowdTruth_Results
280,"OrderedCounter({'bevrijding': 1, 'hulp': 1})",2,2,103,10,2023-06-21 12:14:43,2023-06-21 12:14:43,0,data/CrowdTruth_Results
281,"OrderedCounter({'opstand': 2, 'onrust': 1, 'protest': 1, 'oproer': 1})",5,4,103,11,2023-06-22 13:23:42,2023-06-22 13:23:42,0,data/CrowdTruth_Results
282,"OrderedCounter({'onrust': 1, 'protest': 1, 'verwoesting': 1, 'oproer': 1})",4,4,103,12,2023-06-22 16:54:17,2023-06-22 16:54:17,0,data/CrowdTruth_Results
283,OrderedCounter({'onrust': 1}),1,1,103,13,2023-06-23 10:43:50,2023-06-23 10:43:50,0,data/CrowdTruth_Results
284,OrderedCounter({'onrust': 1}),1,1,103,14,2023-06-23 10:50:44,2023-06-23 10:50:44,0,data/CrowdTruth_Results
285,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",4,4,103,15,2023-06-23 21:48:40,2023-06-23 21:48:40,0,data/CrowdTruth_Results
286,"OrderedCounter({'onrust': 1, 'verwoesting': 1, 'verzet': 1})",3,3,103,16,2023-06-25 19:43:49,2023-06-25 19:43:49,0,data/CrowdTruth_Results
287,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",4,4,103,17,2023-06-26 16:24:30,2023-06-26 16:24:30,0,data/CrowdTruth_Results
288,OrderedCounter({'opstand': 1}),1,1,103,18,2023-06-26 16:28:53,2023-06-26 16:28:53,0,data/CrowdTruth_Results
289,OrderedCounter({'protest': 1}),1,1,103,19,2023-06-26 16:28:54,2023-06-26 16:28:54,0,data/CrowdTruth_Results
290,"OrderedCounter({'emancipatie': 1, 'onrust': 1, 'gelijkheid': 1, 'onafhankelijkheid': 1})",4,4,103,20,2023-06-26 16:29:13,2023-06-26 16:29:13,0,data/CrowdTruth_Results
291,OrderedCounter({'vandalisme': 1}),1,1,103,21,2023-06-26 16:43:31,2023-06-26 16:43:31,0,data/CrowdTruth_Results
292,"OrderedCounter({'revolutie': 1, 'vrijheidsstrijd': 1, 'protest': 1, 'verwoesting': 1, 'oproer': 1})",5,5,103,22,2023-06-26 17:54:48,2023-06-26 17:54:48,0,data/CrowdTruth_Results
293,OrderedCounter({'oproer': 1}),1,1,103,23,2023-06-27 15:38:55,2023-06-27 15:38:55,0,data/CrowdTruth_Results
294,"OrderedCounter({'vrijheidsstrijd': 1, 'opstand': 1, 'onrust': 1, 'verwoesting': 1, 'verzet': 1})",5,5,103,24,2023-06-27 15:57:41,2023-06-27 15:57:41,0,data/CrowdTruth_Results
295,OrderedCounter({'vandalisme': 1}),1,1,103,25,2023-06-27 16:32:11,2023-06-27 16:32:11,0,data/CrowdTruth_Results
296,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",5,5,103,26,2023-06-27 19:33:55,2023-06-27 19:33:55,0,data/CrowdTruth_Results
297,OrderedCounter({'onrust': 1}),1,1,103,27,2023-06-27 19:36:23,2023-06-27 19:36:23,0,data/CrowdTruth_Results
298,"OrderedCounter({'vandalisme': 1, 'rechtvaardigheid': 1, 'verwoesting': 1})",3,3,103,28,2023-06-27 21:28:55,2023-06-27 21:28:55,0,data/CrowdTruth_Results
299,OrderedCounter({'onrust': 1}),1,1,103,29,2023-06-27 22:37:23,2023-06-27 22:37:23,0,data/CrowdTruth_Results
300,OrderedCounter({'revolutie': 1}),1,1,103,30,2023-06-27 23:47:39,2023-06-27 23:47:39,0,data/CrowdTruth_Results
301,"OrderedCounter({'verwoesting': 1, 'oproer': 1, 'ongeloof bij de mensen': 1})",3,3,103,31,2023-06-28 03:20:30,2023-06-28 03:20:30,0,data/CrowdTruth_Results
302,"OrderedCounter({'onrust': 1, 'protest': 1})",2,2,103,32,2023-06-28 04:39:00,2023-06-28 04:39:00,0,data/CrowdTruth_Results
303,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'oproer': 1})",5,5,103,33,2023-06-28 19:24:07,2023-06-28 19:24:07,0,data/CrowdTruth_Results
304,"OrderedCounter({'onrust': 1, 'verwoesting': 1})",2,2,103,34,2023-06-29 12:13:42,2023-06-29 12:13:42,0,data/CrowdTruth_Results
305,"OrderedCounter({'emancipatie': 1, 'revolutie': 1, 'vrijheidsstrijd': 1, 'opstand': 1, 'onafhankelijkheid': 1})",5,5,103,35,2023-06-30 03:19:07,2023-06-30 03:19:07,0,data/CrowdTruth_Results
306,"OrderedCounter({'vrijheidsstrijd': 1, 'onrust': 1, 'rechtvaardigheid': 1, 'verwoesting': 1, 'verzet': 1})",5,5,104,1,2023-09-06 16:02:20,2023-09-06 16:02:20,0,data/CrowdTruth_Results
307,"OrderedCounter({'vrijheidsstrijd': 1, 'bevrijding': 1, 'verwoesting': 1, 'verzet': 1, 'oproer': 1})",5,5,104,2,2023-10-06 13:04:16,2023-10-06 13:04:16,0,data/CrowdTruth_Results
308,"OrderedCounter({'revolutie': 1, 'onrust': 1, 'bevrijding': 1, 'opstand': 1, 'onafhankelijkheid': 1})",5,5,104,3,2023-06-13 10:05:12,2023-06-13 10:05:12,0,data/CrowdTruth_Results
309,"OrderedCounter({'revolutie': 1, 'vrijheidsstrijd': 1, 'onrust': 1, 'verwoesting': 1, 'verzet': 1})",5,5,104,4,2023-06-13 17:04:51,2023-06-13 17:04:51,0,data/CrowdTruth_Results
310,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'rechtvaardigheid': 1, 'verwoesting': 1, 'verzet': 1})",5,5,104,5,2023-06-20 13:11:22,2023-06-20 13:11:22,0,data/CrowdTruth_Results
311,"OrderedCounter({'opstand': 1, 'onrust': 1, 'vandalisme': 1, 'verwoesting': 1, 'verzet': 1})",5,5,104,6,2023-06-20 13:50:30,2023-06-20 13:50:30,0,data/CrowdTruth_Results
312,"OrderedCounter({'revolutie': 1, 'onrust': 1, 'protest': 1, 'verwoesting': 1, 'verzet': 1})",5,5,104,7,2023-06-20 17:59:46,2023-06-20 17:59:46,0,data/CrowdTruth_Results
313,"OrderedCounter({'onrust': 1, 'opstand': 1, 'verwoesting': 1, 'verzet': 1, 'oproer': 1})",5,5,104,8,2023-06-20 18:38:16,2023-06-20 18:38:16,0,data/CrowdTruth_Results
314,"OrderedCounter({'emancipatie': 1, 'opstand': 1, 'gelijkheid': 1, 'vandalisme': 1, 'orde herstellen': 1})",5,5,104,9,2023-06-21 09:14:03,2023-06-21 09:14:03,0,data/CrowdTruth_Results
315,"OrderedCounter({'onrust': 1, 'protest': 1, 'verzet': 1, 'oproer': 1, 'bemoeienis': 1})",5,5,104,10,2023-06-21 12:14:43,2023-06-21 12:14:43,0,data/CrowdTruth_Results
316,"OrderedCounter({'revolutie': 1, 'vrijheidsstrijd': 1, 'opstand': 1, 'onrust': 1, 'verzet': 1})",5,5,104,11,2023-06-22 13:23:42,2023-06-22 13:23:42,0,data/CrowdTruth_Results
317,"OrderedCounter({'revolutie': 1, 'opstand': 1, 'protest': 1, 'verzet': 1, 'oproer': 1})",5,5,104,12,2023-06-22 16:54:17,2023-06-22 16:54:17,0,data/CrowdTruth_Results
318,"OrderedCounter({'revolutie': 1, 'opstand': 1, 'onrust': 1, 'verzet': 1, 'oproer': 1})",5,5,104,13,2023-06-23 10:43:50,2023-06-23 10:43:50,0,data/CrowdTruth_Results
319,"OrderedCounter({'opstand': 1, 'onrust': 1, 'protest': 1, 'verwoesting': 1, 'verzet': 1})",5,5,104,14,2023-06-23 10:50:44,2023-06-23 10:50:44,0,data/CrowdTruth_Results
320,"OrderedCounter({'onrust': 1, 'verwoesting': 1, 'verzet': 1, 'oproer': 1, 'staking': 1})",5,5,104,15,2023-06-23 21:48:40,2023-06-23 21:48:40,0,data/CrowdTruth_Results
321,"OrderedCounter({'revolutie': 1, 'oproer': 1})",2,2,104,16,2023-06-25 19:43:49,2023-06-25 19:43:49,0,data/CrowdTruth_Results
322,OrderedCounter({'onderdrukken': 1}),1,1,104,17,2023-06-26 16:24:30,2023-06-26 16:24:30,0,data/CrowdTruth_Results
323,OrderedCounter({'verzet': 1}),1,1,104,18,2023-06-26 16:28:53,2023-06-26 16:28:53,0,data/CrowdTruth_Results
324,OrderedCounter({'opstand': 1}),1,1,104,19,2023-06-26 16:28:54,2023-06-26 16:28:54,0,data/CrowdTruth_Results
325,"OrderedCounter({'emancipatie': 1, 'protest': 1, 'verzet': 1})",3,3,104,20,2023-06-26 16:29:13,2023-06-26 16:29:13,0,data/CrowdTruth_Results
326,OrderedCounter({'rechtvaardigheid': 1}),1,1,104,21,2023-06-26 16:43:31,2023-06-26 16:43:31,0,data/CrowdTruth_Results
327,"OrderedCounter({'gelijkheid': 1, 'rechtvaardigheid': 1, 'verzet': 1, 'autoriteit': 1, 'oorlog': 1})",5,5,104,22,2023-06-26 17:54:48,2023-06-26 17:54:48,0,data/CrowdTruth_Results
328,OrderedCounter({'vrijheidsstrijd': 1}),1,1,104,23,2023-06-27 15:38:55,2023-06-27 15:38:55,0,data/CrowdTruth_Results
329,"OrderedCounter({'onrust': 1, 'verzet': 1})",2,2,104,24,2023-06-27 15:57:41,2023-06-27 15:57:41,0,data/CrowdTruth_Results
330,OrderedCounter({'emancipatie': 1}),1,1,104,25,2023-06-27 16:32:11,2023-06-27 16:32:11,0,data/CrowdTruth_Results
331,"OrderedCounter({'revolutie': 1, 'onrust': 1, 'protest': 1, 'verwoesting': 1, 'oproer': 1})",5,5,104,26,2023-06-27 19:33:55,2023-06-27 19:33:55,0,data/CrowdTruth_Results
332,OrderedCounter({'onrust': 1}),1,1,104,27,2023-06-27 19:36:23,2023-06-27 19:36:23,0,data/CrowdTruth_Results
333,"OrderedCounter({'onrust': 1, 'vandalisme': 1, 'verwoesting': 1})",3,3,104,28,2023-06-27 21:28:55,2023-06-27 21:28:55,0,data/CrowdTruth_Results
334,OrderedCounter({'onrust': 1}),1,1,104,29,2023-06-27 22:37:23,2023-06-27 22:37:23,0,data/CrowdTruth_Results
335,OrderedCounter({'onrust': 1}),1,1,104,30,2023-06-27 23:47:39,2023-06-27 23:47:39,0,data/CrowdTruth_Results
336,OrderedCounter({'(te late) damage control': 1}),1,1,104,31,2023-06-28 03:20:30,2023-06-28 03:20:30,0,data/CrowdTruth_Results
337,"OrderedCounter({'protest': 1, 'rechtvaardigheid': 1})",2,2,104,32,2023-06-28 04:39:00,2023-06-28 04:39:00,0,data/CrowdTruth_Results
338,"OrderedCounter({'onrust': 1, 'verwoesting': 1, 'verzet': 1, 'oproer': 1, 'staking': 1})",5,5,104,33,2023-06-28 19:24:07,2023-06-28 19:24:07,0,data/CrowdTruth_Results
339,"OrderedCounter({'revolutie': 1, 'onrust': 1, 'protest': 1, 'verzet': 1, 'oproer': 1})",5,5,104,34,2023-06-29 12:13:42,2023-06-29 12:13:42,0,data/CrowdTruth_Results
340,"OrderedCounter({'emancipatie': 1, 'revolutie': 1, 'vrijheidsstrijd': 1, 'bevrijding': 1, 'verwoesting': 1})",5,5,104,35,2023-06-30 03:19:07,2023-06-30 03:19:07,0,data/CrowdTruth_Results
341,"OrderedCounter({'opstand': 1, 'onrust': 1, 'gelijkheid': 1, 'rechtvaardigheid': 1, 'verzet': 1})",5,5,105,1,2023-09-06 16:02:20,2023-09-06 16:02:20,0,data/CrowdTruth_Results
342,"OrderedCounter({'vrijheidsstrijd': 1, 'opstand': 1, 'gelijkheid': 1, 'bevrijding': 1, 'verzet': 1})",5,5,105,2,2023-10-06 13:04:16,2023-10-06 13:04:16,0,data/CrowdTruth_Results
343,"OrderedCounter({'emancipatie': 1, 'revolutie': 1, 'gelijkheid': 1, 'protest': 1, 'bevrijding': 1})",5,5,105,3,2023-06-13 10:05:12,2023-06-13 10:05:12,0,data/CrowdTruth_Results
344,"OrderedCounter({'revolutie': 1, 'vrijheidsstrijd': 1, 'opstand': 1, 'onrust': 1, 'rechtvaardigheid': 1})",5,5,105,4,2023-06-13 17:04:51,2023-06-13 17:04:51,0,data/CrowdTruth_Results
